"site","datetime","latitude_degN","longitude_degW","temp_lab","pH_lab","TA_lab","salinity_lab","totalPt","totalSit","P","CO2","fCO2","pCO2","HCO3","CO3","DIC","OmegaAragonite","OmegaCalcite","temp_insitu","pH_adjusted","CO2_adjusted","fCO2_adjusted","pCO2_adjusted","HCO3_adjusted","CO3_adjusted","DIC_adjusted","OmegaAragonite_adjusted","OmegaCalcite_adjusted","k1k2","kf","ks","pHscale"
"MKO","2015-06-18 21:20:00",34.3932,-119.7301,24.9,24.9,2196.42,32.8,0,0,0,22.75,789.25,789.25,1909.23,116.7,2048.68,1.88,2.86,16.62,7.9,20.73,572.87,572.87,1914.17,113.79,2048.68,1.77,2.76,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-07-01 18:40:00",34.3932,-119.7301,25.17,25.17,2228.37,32.8,0,0,0,15.71,548.6,548.6,1840.85,157.81,2014.38,2.54,3.87,15.97,8.06,14.05,381,381,1845.69,154.63,2014.38,2.4,3.74,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-07-30 19:00:00",34.3932,-119.7301,25,25,2215.43,33.1,0,0,0,15.44,537.83,537.83,1826.01,158.19,1999.64,2.54,3.87,18.68,8.02,14.28,419.55,419.55,1829.33,156.04,1999.64,2.44,3.78,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-08-21 19:00:00",34.3932,-119.7301,25.37,25.37,2225.88,33.2,0,0,0,13.07,459.56,459.56,1783.69,179.68,1976.43,2.89,4.39,19.57,8.07,12.13,365.64,365.64,1786.57,177.75,1976.44,2.79,4.31,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-10-02 17:00:00",34.3932,-119.7301,24.97,24.97,2231.96,33.2,0,0,0,15.64,544.71,544.71,1841.22,158.89,2015.75,2.55,3.88,21.6,7.98,14.99,477.81,477.81,1843.02,157.75,2015.75,2.49,3.83,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-10-09 19:40:00",34.3932,-119.7301,25.17,25.17,2223.82,33.1,0,0,0,14.78,517,517,1819.23,164.47,1998.49,2.64,4.02,20.97,8.01,14.01,438.77,438.77,1821.41,163.07,1998.48,2.57,3.96,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-11-06 20:20:00",34.3932,-119.7301,24.97,24.97,2203.26,33.2,0,0,0,19.1,665.01,665.01,1871.81,134.51,2025.42,2.16,3.29,18.42,7.94,17.67,515.62,515.62,1875.52,132.23,2025.42,2.06,3.2,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-11-09 19:10:00",34.3932,-119.7301,24.97,24.97,2223.96,33.3,0,0,0,16.41,571.51,571.51,1847.79,152.81,2017.01,2.45,3.73,17.82,8.01,15.04,431.62,431.62,1851.64,150.34,2017.01,2.34,3.63,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2015-11-20 20:20:00",34.3932,-119.7301,25.1,25.1,2208.05,33.3,0,0,0,18.35,641.4,641.4,1864.54,139.4,2022.3,2.24,3.4,16.41,7.99,16.56,456.23,456.23,1869.36,136.38,2022.3,2.11,3.29,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-01-09 17:00:00",34.3932,-119.7301,25.27,25.27,2234.6,33.3,0,0,0,18.61,653.37,653.37,1887.5,141.21,2047.32,2.27,3.45,14.41,8.02,16.41,425.73,425.73,1893.54,137.38,2047.33,2.12,3.31,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-01-19 21:00:00",34.3932,-119.7301,25.1,25.1,2242.02,33.4,0,0,0,18.99,664.14,664.14,1898.36,139.83,2057.18,2.24,3.41,15.2,8,16.93,449.96,449.96,1903.93,136.33,2057.18,2.1,3.29,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-01-19 21:20:00",34.3932,-119.7301,25.1,25.1,2242.02,33.4,0,0,0,18.99,664.14,664.14,1898.36,139.83,2057.18,2.24,3.41,15.2,8,16.93,449.96,449.96,1903.93,136.33,2057.18,2.1,3.29,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-03-01 22:00:00",34.3932,-119.7301,25.4,25.4,2212.63,33.3,0,0,0,15.92,560.81,560.81,1829.71,155.44,2001.07,2.5,3.8,16.1,8.05,14.23,388.42,388.42,1834.63,152.22,2001.09,2.36,3.67,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-03-02 20:00:00",34.3932,-119.7301,25.2,25.2,2230.27,33.4,0,0,0,15.21,533.36,533.36,1830.28,162.51,2008,2.61,3.97,16.49,8.06,13.68,377.9,377.9,1834.84,159.49,2008.01,2.47,3.85,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-03-24 21:20:00",34.3932,-119.7301,24.9,24.9,2228.93,33.2,0,0,0,26.54,922.55,922.55,1966.64,106.74,2099.92,1.71,2.61,13.64,7.89,23.57,596.7,596.7,1973.64,102.71,2099.92,1.58,2.48,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-04-06 21:20:00",34.3932,-119.7301,24.97,24.97,2246.47,33.2,0,0,0,14.89,518.58,518.58,1837.95,166.31,2019.15,2.67,4.06,15.17,8.09,13.23,351.01,351.01,1843.03,162.89,2019.15,2.52,3.93,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-04-16 18:20:00",34.3932,-119.7301,25.03,25.03,2241.73,33.1,0,0,0,15.56,542.52,542.52,1847.07,160.69,2023.32,2.58,3.93,14.2,8.09,13.68,352.16,352.16,1852.75,156.89,2023.32,2.42,3.79,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-04-22 19:40:00",34.3932,-119.7301,24.43,24.43,2248.38,33.3,0,0,0,17.06,586.27,586.27,1878.36,150.59,2046.01,2.41,3.67,16.03,8.03,15.44,420.59,420.59,1882.94,147.63,2046.01,2.29,3.56,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-05-11 18:50:00",34.3932,-119.7301,24.7,24.7,2258.79,33.4,0,0,0,16.46,569.98,569.98,1874.9,156.32,2047.69,2.5,3.81,15.18,8.06,14.71,390.67,390.67,1880.02,152.96,2047.69,2.36,3.69,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-05-11 20:00:00",34.3932,-119.7301,24.87,24.87,2243.53,33.3,0,0,0,15.26,530.25,530.25,1842.6,163.11,2020.97,2.61,3.98,15.52,8.08,13.63,365.71,365.71,1847.49,159.84,2020.97,2.47,3.86,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-05-17 18:40:00",34.3932,-119.7301,24.93,24.93,2250.52,33.2,0,0,0,14.68,510.59,510.59,1836.81,168.47,2019.95,2.7,4.12,16.41,8.08,13.22,363.98,363.98,1841.23,165.5,2019.95,2.57,4,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-06-08 20:40:00",34.3932,-119.7301,25.03,25.03,2250.34,33.3,0,0,0,14.17,494.58,494.58,1825.67,172.85,2012.69,2.77,4.22,16.02,8.1,12.69,345.5,345.5,1830.28,169.72,2012.69,2.63,4.1,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-06-27 21:20:00",34.3932,-119.7301,25.17,25.17,2222.69,33.2,0,0,0,15.28,534.65,534.65,1827.13,160.73,2003.14,2.58,3.93,17,8.05,13.82,387.2,387.2,1831.4,157.92,2003.14,2.45,3.82,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-07-06 18:30:00",34.3932,-119.7301,25.03,25.03,2243.26,33.3,0,0,0,12.7,443.09,443.09,1788.13,185.08,1985.91,2.97,4.52,18.08,8.11,11.62,336.19,336.19,1791.56,182.73,1985.91,2.85,4.42,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-08-03 18:20:00",34.3932,-119.7301,25.13,25.13,2234.95,33.2,0,0,0,18.51,647.13,647.13,1887.27,141.49,2047.27,2.27,3.46,16.92,7.98,16.79,469.15,469.15,1891.87,138.61,2047.27,2.15,3.35,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-09-06 18:20:00",34.3932,-119.7301,24.83,24.83,2232.95,33.1,0,0,0,18.76,650.59,650.59,1890.76,139.26,2048.78,2.23,3.4,16.91,7.98,17.08,477.01,477.01,1895.23,136.47,2048.78,2.12,3.3,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-09-30 21:40:00",34.3932,-119.7301,24.5,24.5,2212,33.1,0,0,0,18.29,628.94,628.94,1869.84,138.95,2027.08,2.23,3.39,18.4,7.96,17,495.68,495.68,1873.25,136.83,2027.08,2.14,3.31,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-10-05 19:40:00",34.3932,-119.7301,24.8,24.8,2230.13,33.1,0,0,0,17.91,620.59,620.59,1876.98,143.67,2038.55,2.3,3.51,16.36,8,16.21,445.25,445.25,1881.64,140.71,2038.55,2.18,3.4,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-11-02 19:10:00",34.3932,-119.7301,24.87,24.87,2225.22,33.1,0,0,0,16.45,571.13,571.13,1850.85,152.21,2019.52,2.44,3.72,16.81,8.03,14.93,415.66,415.66,1855.18,149.42,2019.52,2.32,3.61,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-11-11 21:00:00",34.3932,-119.7301,24.57,24.57,2209.81,33.2,0,0,0,18.83,648.95,648.95,1874.74,136.01,2029.58,2.18,3.32,17,7.97,17.23,482.63,482.63,1878.99,133.37,2029.58,2.07,3.22,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-11-21 20:40:00",34.3932,-119.7301,24.57,24.57,2234.99,33.2,0,0,0,20.98,723.05,723.05,1920.24,128.07,2069.28,2.05,3.13,16.9,7.93,19.21,536.49,536.49,1924.73,125.34,2069.28,1.95,3.03,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-12-07 20:00:00",34.3932,-119.7301,25.17,25.17,2231.32,33.1,0,0,0,17.47,610.9,610.9,1869.94,147.06,2034.47,2.36,3.6,15.37,8.03,15.55,414.91,414.91,1875.28,143.63,2034.47,2.22,3.47,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-12-12 22:00:00",34.3932,-119.7301,24.77,24.77,2220.58,33.1,0,0,0,19.42,672.3,672.3,1890.21,134.31,2043.94,2.15,3.28,15.28,7.99,17.41,463.06,463.06,1895.55,130.98,2043.94,2.03,3.16,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2016-12-29 21:40:00",34.3932,-119.7301,24.83,24.83,2208.05,33.1,0,0,0,21.93,760.66,760.66,1909.13,121.43,2052.49,1.95,2.97,13.86,7.96,19.43,494.82,494.82,1915.49,117.57,2052.49,1.81,2.84,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-01-13 21:20:00",34.3932,-119.7301,24.8,24.8,2210.47,32.9,0,0,0,21.34,738.82,738.82,1905.68,123.93,2050.95,1.99,3.03,14.21,7.96,18.96,487.66,487.66,1911.79,120.21,2050.95,1.85,2.9,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-02-08 21:00:00",34.3932,-119.7301,24.9,24.9,2212.14,32.9,0,0,0,21.3,739.32,739.32,1906.2,124.43,2051.93,2,3.05,14.2,7.97,18.9,485.89,485.89,1912.36,120.66,2051.93,1.86,2.92,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-02-15 17:40:00",34.3932,-119.7301,24.4,24.4,2219.03,33,0,0,0,21.95,752.35,752.35,1919.73,121.71,2063.38,1.95,2.97,14.4,7.95,19.64,508.48,508.48,1925.56,118.17,2063.38,1.82,2.85,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-03-09 20:00:00",34.3932,-119.7301,25,25,2223.4,33.1,0,0,0,21.23,739.25,739.25,1912.9,126.31,2060.43,2.03,3.09,13.55,7.98,18.68,471.28,471.28,1919.48,122.27,2060.43,1.88,2.95,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-03-24 20:40:00",34.3932,-119.7301,25.2,25.2,2227.28,33.1,0,0,0,21.18,741.43,741.43,1914.7,127.21,2063.09,2.04,3.11,14.4,7.97,18.75,485.59,485.59,1920.94,123.4,2063.09,1.9,2.98,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-04-06 18:55:00",34.3932,-119.7301,24.8,24.8,2235.97,33.2,0,0,0,16.31,565.51,565.51,1856.19,154.48,2026.98,2.48,3.77,14.5,8.07,14.44,375.43,375.43,1861.67,150.87,2026.98,2.33,3.64,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-04-21 16:40:00",34.3932,-119.7301,24.73,24.73,2225.92,33.3,0,0,0,21.94,759.65,759.65,1922.65,123.28,2067.86,1.97,3.01,15.08,7.94,19.69,521.19,521.19,1928.32,119.85,2067.86,1.85,2.89,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-05-11 18:20:00",34.3932,-119.7301,24.9,24.9,2251.36,33.3,0,0,0,14.86,516.75,516.75,1840.56,167.23,2022.64,2.68,4.08,15,8.1,13.19,348.24,348.24,1845.7,163.76,2022.64,2.53,3.95,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-06-06 19:40:00",34.3932,-119.7301,25.13,25.13,2226.35,33.2,0,0,0,16.67,582.84,582.84,1853.61,151.54,2021.82,2.43,3.7,17.31,8.02,15.16,428.53,428.53,1857.83,148.83,2021.82,2.31,3.6,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-06-07 18:20:00",34.3932,-119.7301,25.3,25.3,2240.17,33.3,0,0,0,15.14,531.99,531.99,1836.18,164.35,2015.67,2.64,4.01,16.97,8.06,13.67,382.75,382.75,1840.54,161.47,2015.67,2.51,3.9,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-06-15 16:35:00",34.3932,-119.7301,25,25,2243.4,32.6,0,0,0,15.04,522.62,522.62,1841.42,164.01,2020.48,2.64,4.03,16.7,8.07,13.58,375.96,375.96,1845.75,161.15,2020.48,2.51,3.91,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-06-20 19:35:00",34.3932,-119.7301,25,25,2248.58,32.6,0,0,0,12.9,448.18,448.18,1800.48,182.84,1996.22,2.94,4.49,17.37,8.12,11.71,330.65,330.65,1804.26,180.25,1996.22,2.81,4.37,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-06-30 18:25:00",34.3932,-119.7301,25,25,2245.12,32.5,0,0,0,16.88,585.94,585.94,1874.55,151.32,2042.75,2.44,3.72,15.96,8.04,15.14,409.7,409.7,1879.44,148.16,2042.75,2.3,3.59,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-07-12 18:00:00",34.3932,-119.7301,25.3,25.3,2237.64,33.2,0,0,0,14.36,504.36,504.36,1819.87,169.96,2004.2,2.73,4.16,18.55,8.06,13.19,386.5,386.5,1823.34,167.66,2004.2,2.62,4.06,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-07-13 17:25:00",34.3932,-119.7301,25,25,2213.5,32.5,0,0,0,17.81,618.25,618.25,1864.99,141.95,2024.75,2.29,3.49,18.05,7.98,16.37,470.97,470.97,1868.83,139.55,2024.75,2.18,3.39,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-07-26 17:00:00",34.3932,-119.7301,25,25,2227.63,32.4,0,0,0,14.78,512.91,512.91,1826.12,163.74,2004.63,2.64,4.03,18.49,8.05,13.62,396.63,396.63,1829.49,161.53,2004.63,2.53,3.93,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-02 19:05:00",34.3932,-119.7301,25.2,25.2,2235.22,33.2,0,0,0,14.6,511.3,511.3,1823.21,167.58,2005.39,2.69,4.1,18.1,8.06,13.36,386.36,386.36,1826.88,165.15,2005.39,2.58,3.99,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-07 23:40:00",34.3932,-119.7301,25,25,2224.91,32.2,0,0,0,11.47,397.76,397.76,1750.77,193.36,1955.6,3.12,4.76,19.11,8.13,10.62,314.54,314.54,1753.54,191.44,1955.6,3.01,4.67,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-11 17:45:00",34.3932,-119.7301,25,25,2222.02,32.5,0,0,0,12.8,444.34,444.34,1780.19,179.95,1972.94,2.9,4.42,20.2,8.07,12.02,367.57,367.57,1782.54,178.37,1972.94,2.81,4.35,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-11 21:00:00",34.3932,-119.7301,25.23,25.23,2209.13,33.3,0,0,0,12.43,436.07,436.07,1757.42,183.16,1953.02,2.94,4.47,18.45,8.11,11.4,333.26,333.26,1760.71,180.9,1953.02,2.82,4.37,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-14 20:20:00",34.3932,-119.7301,25.4,25.4,2232.95,33.2,0,0,0,13.55,477.08,477.08,1799.25,176.36,1989.16,2.84,4.31,19.2,8.07,12.52,373.6,373.6,1802.37,174.27,1989.16,2.73,4.22,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-08-18 21:15:00",34.3932,-119.7301,25,25,2224.83,32.3,0,0,0,15.94,552.8,552.8,1845.27,154.84,2016.04,2.5,3.81,18.99,8.01,14.79,436.52,436.52,1848.47,152.79,2016.04,2.4,3.72,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-09-05 18:20:00",34.3932,-119.7301,24.6,24.6,2231.37,33.1,0,0,0,14.01,483.12,483.12,1811.88,170.56,1996.45,2.73,4.17,20,8.04,13.22,403.1,403.1,1814.23,169,1996.45,2.65,4.1,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-09-07 23:15:00",34.3932,-119.7301,25,25,2220.91,32.3,0,0,0,14.07,487.95,487.95,1807.89,168.39,1990.35,2.72,4.14,20.6,8.03,13.29,410.41,410.41,1810.13,166.92,1990.35,2.64,4.08,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-09-15 20:00:00",34.3932,-119.7301,25.2,25.2,2220.6,33,0,0,0,21.13,739.37,739.37,1909.41,126.63,2057.17,2.04,3.1,19.05,7.9,19.65,583.3,583.3,1913.06,124.46,2057.17,1.95,3.02,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-09-18 22:55:00",34.3932,-119.7301,25,25,2220.43,32.3,0,0,0,14.61,506.69,506.69,1818.17,164.01,1996.78,2.65,4.04,19.08,8.04,13.56,401.17,401.17,1821.22,162.01,1996.78,2.55,3.95,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-10-04 19:10:00",34.3932,-119.7301,25.4,25.4,2229.77,33.1,0,0,0,10.96,385.6,385.6,1732.79,201.99,1945.74,3.25,4.94,18.45,8.16,10.01,292.31,292.31,1736.02,199.71,1945.74,3.12,4.84,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-10-06 23:28:00",34.3932,-119.7301,25,25,2215.51,32.4,0,0,0,11.43,396.81,396.81,1742.29,192.66,1946.38,3.11,4.74,19.66,8.12,10.66,320.91,320.91,1744.79,190.93,1946.38,3.01,4.65,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-10-19 23:00:00",34.3932,-119.7301,25,25,2224.19,32.2,0,0,0,14.93,517.44,517.44,1827.36,161.92,2004.21,2.61,3.99,20.4,8.02,14.07,431.95,431.95,1829.75,160.38,2004.21,2.53,3.92,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-10-30 19:20:00",34.3932,-119.7301,25.5,25.5,2233.32,33.1,0,0,0,17.58,620.04,620.04,1871.79,147.18,2036.55,2.37,3.6,17.55,8,15.96,454.17,454.17,1876.17,144.42,2036.55,2.25,3.49,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-03 23:28:00",34.3932,-119.7301,25,25,2226.8,32.3,0,0,0,16.98,588.79,588.79,1863.48,148.26,2028.71,2.39,3.65,18.3,8,15.64,452.61,452.61,1867.13,145.95,2028.71,2.29,3.55,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-08 20:40:00",34.3932,-119.7301,24.8,24.8,2229.58,33.2,0,0,0,16.52,572.82,572.82,1854.95,152.31,2023.78,2.44,3.72,17.35,8.02,15.1,427.23,427.23,1858.97,149.72,2023.78,2.33,3.62,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-13 21:30:00",34.3932,-119.7301,25,25,2230.38,32.4,0,0,0,15.94,553.03,553.03,1848.83,155.66,2020.42,2.51,3.83,17.9,8.03,14.6,417.99,417.99,1852.6,153.22,2020.42,2.4,3.73,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-17 19:20:00",34.3932,-119.7301,25.4,25.4,2217.05,33.2,0,0,0,19.44,684.33,684.33,1885.03,134.95,2039.42,2.17,3.3,16.9,7.96,17.59,491.23,491.23,1889.86,131.98,2039.42,2.05,3.19,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-21 23:50:00",34.3932,-119.7301,25,25,2225.79,32.4,0,0,0,16.8,583.12,583.12,1859.59,149.35,2025.75,2.41,3.67,16.9,8.02,15.23,423.63,423.63,1863.97,146.55,2025.75,2.28,3.56,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-11-30 23:20:00",34.3932,-119.7301,25,25,2225.5,32,0,0,0,15.71,544.05,544.05,1843.3,156.12,2015.13,2.52,3.85,16.26,8.06,14.12,384.53,384.53,1847.89,153.12,2015.13,2.39,3.73,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-12-05 20:40:00",34.3932,-119.7301,25.1,25.1,2222.04,33.2,0,0,0,18.69,652.92,652.92,1880.14,138.98,2037.81,2.23,3.4,15.5,8,16.71,447.66,447.66,1885.48,135.62,2037.81,2.1,3.27,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-12-13 21:00:00",34.3932,-119.7301,25,25,2229.07,31.9,0,0,0,17.63,610.31,610.31,1876.83,144.02,2038.49,2.33,3.56,15.16,8.03,15.69,413.19,413.19,1882.2,140.6,2038.49,2.18,3.42,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-12-22 21:40:00",34.3932,-119.7301,25.1,25.1,2234.21,33.2,0,0,0,16.83,588.02,588.02,1862.11,151.38,2030.32,2.43,3.7,15.55,8.04,15.02,403.09,403.09,1867.26,148.04,2030.32,2.29,3.57,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2017-12-23 00:30:00",34.3932,-119.7301,25,25,2232.05,32.2,0,0,0,16.87,584.69,584.69,1866.13,149.45,2032.45,2.41,3.68,15.73,8.04,15.09,404.95,404.95,1871.13,146.23,2032.45,2.27,3.55,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-01-08 19:30:00",34.3932,-119.7301,24.9,24.9,2232.6,33.2,0,0,0,15.07,523.79,523.79,1831.57,163.06,2009.7,2.62,3.98,15.95,8.07,13.52,367.13,367.13,1836.22,159.96,2009.7,2.48,3.86,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-01-12 17:00:00",34.3932,-119.7301,25.2,25.2,2224.6,33.1,0,0,0,20.63,722.02,722.02,1906.32,129.49,2056.45,2.08,3.17,15.95,7.96,18.54,503.21,503.21,1911.67,126.23,2056.45,1.96,3.05,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-01-18 00:15:00",34.3932,-119.7301,25,25,2226.18,32.2,0,0,0,18.86,653.71,653.71,1890.28,137.15,2046.28,2.21,3.38,16.15,7.99,16.99,461.57,461.57,1895.24,134.06,2046.28,2.09,3.26,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-01-24 18:10:00",34.3932,-119.7301,25,25,2233.39,32.2,0,0,0,21.42,742.49,742.49,1926.47,125.42,2073.31,2.02,3.09,14.4,7.97,19,489.65,489.65,1932.63,121.67,2073.31,1.88,2.95,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-02-08 22:40:00",34.3932,-119.7301,25.4,25.4,2234.81,33.3,0,0,0,17.6,620,620,1872.74,147.29,2037.64,2.37,3.6,15.35,8.03,15.63,417.12,417.12,1878.23,143.77,2037.64,2.22,3.47,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-02-13 20:50:00",34.3932,-119.7301,25.4,25.4,2236.65,33.3,0,0,0,19.08,672.13,672.13,1894.85,139.09,2053.03,2.24,3.4,14.6,8.01,16.84,439.32,439.32,1900.9,135.29,2053.03,2.09,3.26,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-02-15 21:40:00",34.3932,-119.7301,25.4,25.4,2234.8,33.3,0,0,0,18.11,637.86,637.86,1880.11,144.3,2042.52,2.32,3.53,15.2,8.02,16.06,426.77,426.77,1885.74,140.72,2042.52,2.17,3.39,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-03-14 19:20:00",34.3932,-119.7301,25.5,25.5,2232.16,33.2,0,0,0,18.4,649.19,649.19,1882.21,142.41,2043.02,2.29,3.48,13.9,8.03,16.08,410.37,410.37,1888.6,138.34,2043.02,2.13,3.34,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-03-15 21:00:00",34.3932,-119.7301,25.2,25.2,2236.37,33.2,0,0,0,21.88,766.31,766.31,1928.96,125.16,2076.01,2.01,3.06,13.75,7.97,19.26,489.17,489.17,1935.65,121.1,2076.01,1.86,2.92,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-04-10 19:30:00",34.3932,-119.7301,24.8,24.8,2246.51,33.3,0,0,0,13.17,456.73,456.73,1802.32,180.68,1996.16,2.9,4.41,15.7,8.13,11.77,317.45,317.45,1806.87,177.53,1996.16,2.75,4.28,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
"MKO","2018-04-13 20:10:00",34.3932,-119.7301,25.13,25.13,2248.97,33,0,0,0,22.02,769.01,769.01,1941.29,125.5,2088.81,2.02,3.07,13.25,7.97,19.3,482.05,482.05,1948.24,121.27,2088.81,1.87,2.93,"Millero et al.(2006)","Dickson and Riley","Dickson (1990)","total scale"
